0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:58 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:58 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:58 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:58 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:07:58 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:05 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:11 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:12 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:12 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:18 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:18 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:08:19 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
